old_url,discovered_from,local_route_candidate,mapping_type,status,notes
https://bostarcoating.com/products/automatic-powder-spray-gun/automatic-powder-spray-gun,recursive:https://bostarcoating.com/products,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/automation-equipment,recursive:https://bostarcoating.com/,/products/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/electrostatic-flocking-machine,recursive:https://bostarcoating.com/,/products/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/electrostatic-flocking-machine/manual-electrostatic-flocking-velvet-spraying-machine,recursive:https://bostarcoating.com/products,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/electrostatic-rotary-bell-system,recursive:https://bostarcoating.com/,/products/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/electrostatic-rotary-bell-system/disk-automatic-electrostatic-coating-system,recursive:https://bostarcoating.com/,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/manual-powder-coating-gun,recursive:https://bostarcoating.com/,/products/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/manual-powder-coating-gun/manual-electrostatic-powder-spray-gun,recursive:https://bostarcoating.com/products,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/manual-powder-coating-gun/manual-electrostatic-powder-spray-gun-bsd-f22,recursive:https://bostarcoating.com/products,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/manual-powder-coating-gun/manual-powder-spray-gun,recursive:https://bostarcoating.com/products,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/manual-powder-coating-gun/powder-coating-gun,recursive:https://bostarcoating.com/products,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/spray-gun-accessories,recursive:https://bostarcoating.com/,/products/[categorySlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/products/spray-gun-accessories/manual-powder-electrostatic-spray-gun-led-light-kit,recursive:https://bostarcoating.com/,/products/[categorySlug]/[productSlug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/sample-download.pdf,recursive:https://bostarcoating.com/downloads/maintenance-guide,,REVIEW_REQUIRED,UNMAPPED,production-404; homepage-canonical-risk
https://bostarcoating.com/solutions,nav-link,/solutions,KEEP,OK,homepage-canonical-risk
https://bostarcoating.com/solutions/aluminum-profile-powder-coating,recursive:https://bostarcoating.com/,/solutions/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/solutions/auto-parts-coating,recursive:https://bostarcoating.com/,/solutions/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/solutions/automatic-coating-line,recursive:https://bostarcoating.com/,/solutions/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/solutions/cabinet-powder-coating,recursive:https://bostarcoating.com/,/solutions/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/solutions/furniture-hardware-coating,recursive:https://bostarcoating.com/,/solutions/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/solutions/hardware-powder-coating,recursive:https://bostarcoating.com/solutions,/solutions/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://bostarcoating.com/solutions/lab-sample-coating,recursive:https://bostarcoating.com/,/solutions/[slug],PATTERN_MATCH,OK,homepage-canonical-risk
https://www.bostarcoating.com/,www-homepage-seed,/,KEEP,OK,
https://www.bostarcoating.com/about,sitemap,/about,KEEP,OK,homepage-canonical-risk
